POND,Date Sampled,Quarter,Flow _GPM,FDP_Flow_GPM,Flow_CFS,Conductivity umho/cm,Calculated TDS_mg-L
G-1,8/1/2009,Q3/09,4000,4000,9,249,162
G-1,10/9/2009,Q4/09,6000,6000,13,169,110
G-1,1/2/2010,Q1/10,100,100,0,226,147
G-1,3/6/2010,Q1/10,100,100,0,220,143
G-1,7/2/2010,Q3/10,No Flow,,0,,
G-1,4/16/2011,Q2/11,No Flow,,0,,
G-1,9/1/2011,Q3/11,No Flow,,0,,
G-1,12/22/2011,Q4/11,100,100,0,456,296
G-1,1/27/2012,Q1/12,100,100,0,659,428
G-1,4/7/2012,Q2/12,20,20,0,615,400
G-1,7/1/2012,Q3/12,No Flow,,0,,
G-1,12/30/2012,Q4/12,No Flow,,0,,
G-1,1/11/2013,Q1/13,50,50,0,810,527
G-1,4/5/2013,Q2/13,100,100,0,860,559
G-1,9/20/2013,Q3/13,200,200,0,193,125
G-1,10/18/2013,Q4/13,50,50,0,750,488
G-1,1/17/2014,Q1/14,50,50,0,196,127
G-1,4/11/2014,Q2/14,50,50,0,225,146
L-1,8/6/1997,Q3/97,,,0,324,211
L-1,10/20/1997,Q4/97,0,0,0,380,247
L-1,1/14/1998,Q1/98,0,0,0,187,122
L-1,5/9/1998,Q2/98,0,0,0,366,238
L-1,9/15/1998,Q3/98,0,0,0,324,211
L-1,10/3/1998,Q4/98,0,0,0,327,213
L-1,1/23/1999,Q1/99,0,0,0,277,180
L-1,4/9/1999,Q2/99,0,0,0,267,174
L-1,7/3/1999,Q3/99,,,0,,
L-1,10/23/1999,Q4/99,,,0,248,161
L-1,1/8/2000,Q1/00,2000,2000,4,397,258
L-1,4/7/2000,Q2/00,2000,2000,4,316,205
L-1,7/7/2000,Q3/00,4000,4000,9,206,134
L-1,10/20/2000,Q4/00,2000,2000,4,679,441
L-1,1/5/2001,Q1/01,2000,2000,4,217,141
L-1,4/13/2001,Q2/01,4000,4000,9,294,191
L-1,7/1/2001,Q3/01,2000,2000,4,293,190
L-1,10/13/2001,Q4/01,6000,6000,13,189,123
L-1,1/18/2002,Q1/02,2000,2000,4,273,177
L-1,4/10/2002,Q2/02,4000,4000,9,219,142
L-1,9/27/2002,Q3/02,No flow,,0,,
L-1,10/18/2002,Q4/02,4000,4000,9,232,151
L-1,1/23/2003,Q1/03,2000,2000,4,240,156
L-1,5/8/2003,Q2/03,4000,4000,9,304,198
L-1,9/19/2003,Q3/03,No flow,,0,,
L-1,10/10/2003,Q4/03,2000,2000,4,383,249
L-1,1/8/2004,Q1/04,2000,2000,4,380,247
L-1,5/7/2004,Q2/04,4000,4000,9,224,146
L-1,9/3/2004,Q3/04,No flow,,0,,
L-1,12/2/2004,Q4/04,2000,2000,4,289,188
L-1,1/8/2005,Q1/05,6500,6500,14,312,203
L-1,4/28/2005,Q2/05,No flow,,0,,
L-1,7/7/2005,Q3/05,No flow,,0,,
L-1,11/19/2005,Q4/05,No flow,,0,,
L-1,3/25/2006,Q1/06,10000,10000,22,276,179
L-1,5/6/2006,Q2/06,500,500,1,282,183
L-1,9/30/2006,Q3/06,No flow,,0,,
L-1,12/30/2006,Q4/06,No flow,,0,,
L-1,1/23/2007,Q1/07,2000,2000,4,168,109
L-1,6/1/2007,Q2/07,10000,10000,22,233,151
L-1,7/6/2007,Q3/07,10000,10000,22,199,129
L-1,12/14/2007,Q4/07,No flow,,0,,
L-1,2/22/2008,Q1/08,4000,4000,9,218,142
L-1,4/4/2008,Q2/08,2000,2000,4,225,146
L-1,9/18/2008,Q3/08,1000,1000,2,184,120
L-1,12/31/2008,Q4/08,No flow,,0,,
L-1,3/12/2009,Q1/09,1000,1000,2,245,159
L-1,4/4/2009,Q2/09,200,200,0,233,151
L-1,7/30/2009,Q3/09,2000,2000,4,173,112
L-1,10/10/2009,Q4/09,6000,6000,13,264,172
L-1,1/2/2010,Q1/10,100,100,0,173,112
L-1,3/13/2010,Q1/10,100,100,0,178,116
L-1,7/9/2010,Q3/10,1000,1000,2,190,124
L-1,4/26/2011,Q2/11,No flow,,0,,
L-1,9/1/2011,Q3/11,No flow,,0,,
L-1,12/1/2011,Q4/11,No flow,,0,,
L-1,1/27/2012,Q1/12,500,500,1,327,213
L-1,4/6/2012,Q2/12,200,200,0,222,144
L-1,7/1/2012,Q3/12,No flow,,0,,
L-1,12/31/2012,Q4/12,No flow,,0,,
L-1,1/12/2013,Q1/13,1000,1000,2,286,186
L-1,4/6/2013,Q2/13,100,100,0,270,176
L-1,9/20/2013,Q3/13,10000,10000,22,290,189
L-1,10/4/2013,Q4/13,6000,6000,13,275,179
L-1,1/18/2014,Q1/14,200,200,0,200,130
L-1,4/11/2014,Q2/14,1000,1000,2,207,135
L-2,10/20/1997,Q4/97,0,0,0,237,154
L-2,1/14/1998,Q1/98,0,0,0,198,129
L-2,4/4/1998,Q2/98,0,0,0,480,312
L-2,9/15/1998,Q3/98,0,0,0,447,291
L-2,10/3/1998,Q4/98,0,0,0,415,270
L-2,1/29/1999,Q1/99,0,0,0,332,216
L-2,4/9/1999,Q2/99,0,0,0,285,185
L-2,8/31/1999,Q3/99,,,0,,
L-2,12/11/1999,Q4/99,,,0,634,412
L-2,1/8/2000,Q1/00,2000,2000,4,357,232
L-2,4/7/2000,Q2/00,2000,2000,4,255,166
L-2,7/7/2000,Q3/00,,,0,,
L-2,11/11/2000,Q4/00,2000,2000,4,190,124
L-2,1/5/2001,Q1/01,2000,2000,4,193,125
L-2,4/13/2001,Q2/01,2000,2000,4,271,176
L-2,7/1/2001,Q3/01,1500,1500,3,275,179
L-2,10/13/2001,Q4/01,3778,3778,8,165,107
L-2,1/18/2002,Q1/02,2000,2000,4,230,150
L-2,4/10/2002,Q2/02,2000,2000,4,186,121
L-2,9/27/2002,Q3/02,1500,1500,3,372,242
L-2,10/18/2002,Q4/02,4000,4000,9,264,172
L-2,2/17/2003,Q1/03,1500,1500,3,313,203
L-2,5/8/2003,Q2/03,2000,2000,4,341,222
L-2,9/19/2003,Q3/03,,,0,,
L-2,10/10/2003,Q4/03,2000,2000,4,419,272
L-2,1/8/2004,Q1/04,1500,1500,3,379,246
L-2,4/24/2004,Q2/04,2000,2000,4,300,195
L-2,9/3/2004,Q3/04,,,0,,
L-2,11/4/2004,Q4/04,1000,1000,2,282,183
L-2,1/6/2005,Q1/05,2000,2000,4,354,230
L-2,4/28/2005,Q2/05,,,0,,
L-2,7/7/2005,Q3/05,,,0,,
L-2,11/19/2005,Q4/05,,,0,,
L-2,2/25/2006,Q1/06,1000,1000,2,384,250
L-2,5/6/2006,Q2/06,,,0,,
L-2,9/30/2006,Q3/06,,,0,,
L-2,12/30/2006,Q4/06,2000,2000,4,264,172
L-2,1/5/2007,Q1/07,1000,1000,2,280,182
L-2,6/1/2007,Q2/07,4000,4000,9,279,181
L-2,7/6/2007,Q3/07,4000,4000,9,214,139
L-2,12/21/2007,Q4/07,1000,1000,2,292,190
L-2,1/18/2008,Q1/08,100,100,0,372,242
L-2,4/4/2008,Q2/08,500,500,1,266,173
L-2,9/18/2008,Q3/08,300,300,1,218,142
L-2,10/10/2008,Q4/08,100,100,0,220,143
L-2,1/8/2009,Q1/09,500,500,1,292,190
L-2,4/4/2009,Q2/09,100,100,0,333,216
L-2,7/30/2009,Q3/09,500,500,1,197,128
L-2,10/10/2009,Q4/09,4000,4000,9,139,90
L-2,1/2/2010,Q1/10,50,50,0,196,127
L-2,3/6/2010,Q1/10,50,50,0,210,137
L-2,7/9/2010,Q3/10,20,20,0,230,150
L-2,1/20/2011,Q1/11,2000,2000,4,202,131
