Dist or Undist,Stat. Name,Date,Quarter,Flow (GPM),Flow(cfs),pH,EC(umhos),TDS(mg/L),TSS(mg/L),TSM(ml/L),Diss Fe (mg/L),Total Fe (mg/L),Diss Mn (mg/L),Total Mn (mg/L)
undisturbed,W-14,11/01/10,Q4/10,No Flow,#VALUE!,,,,,,,,,
undisturbed,W-14,02/01/11,Q1/11,No Flow,#VALUE!,,,,,,,,,
undisturbed,W-14,04/26/11,Q2/11,587,1.307932264,6.2,,310,13,< 0.1,0.52,1.64,1.34,1.96
undisturbed,W-14,08/01/11,Q3/11,No Flow,#VALUE!,,,,,,,,,
undisturbed,W-14,12/06/11,Q4/11,0,0,7.7,,128,166,< 0.1,0.49,5.18,0.11,0.19
undisturbed,W-14,01/11/12,Q1/12,0,0,6.4,,98,16,< 0.1,0.24,2.45,0.06,0.12
undisturbed,W-14,06/15/12,Q2/12,5436,12.11229947,6.2,,172,46,< 0.1,0.28,1.20,0.03,0.09
undisturbed,W-14,12/28/12,Q4/12,1717,3.825757576,6.2,,140,36,< 0.1,0.16,1.60,0.14,0.12
undisturbed,W-14,02/15/13,Q1/13,794,1.76916221,6.5,,238,8,< 0.1,0.29,1.42,0.03,0.03
undisturbed,W-14,05/24/13,Q2/13,685,1.526292335,6.9,,178,12,0.10,0.58,1.71,0.11,0.19
undisturbed,W-14,09/27/13,Q3/13,391,0.871212121,6.8,,148,2.3,< 0.1,0.06,0.11,0.01,0.01
undisturbed,W-14,12/06/13,Q4/13,19624,43.7254902,7.1,,112,84,< 0.1,0.53,2.10,0.09,0.13
undisturbed,W-14,03/31/14,Q1/14,No Flow,#VALUE!,,,,,,,,,
undisturbed,W-14,04/02/14,Q2/14,833,1.856060606,7.6,,706,5.8,< 0.1,0.08,0.48,0.12,1.47
disturbed,W-11,05/30/97,Q2/97,,#VALUE!,7.3,,548,7,<0.1,,0.08,,2.95
disturbed,W-11,07/28/97,Q3/97,,#VALUE!,7.3,,308,1,<0.1,0.06,0.20,<0.05,0.31
disturbed,W-11,10/17/97,Q4/97,,#VALUE!,6.3,,194,7,<0.1,0.14,0.57,<0.05,0.05
disturbed,W-11,01/10/98,Q1/98,,#VALUE!,7.4,,179,10,<0.1,0.10,0.70,0.05,0.13
disturbed,W-11,04/17/98,Q2/98,,#VALUE!,6.7,,288,2,<0.1,0.10,1.12,0.24,0.39
disturbed,W-11,07/06/98,Q3/98,,#VALUE!,6.5,,566,13,<0.1,0.06,0.92,0.76,0.77
disturbed,W-11,10/05/98,Q4/98,,#VALUE!,6.5,,260,1,<0.1,0.15,0.74,0.26,0.28
disturbed,W-11,02/09/99,Q1/99,,#VALUE!,7.1,,287,8,<0.1,0.06,0.54,0.77,0.77
